text,label,source
ok  i asked for money how far,0,kaggle
send ur birthdate with month and year  i will tel u ur life partner s name  and the method of calculation  reply must,0,kaggle
thanks for looking out for me  i really appreciate,0,kaggle
u wan 2 haf lunch i m in da canteen now,0,kaggle
at what time should i come tomorrow,0,kaggle
u say leh    of course nothing happen lar  not say v romantic jus a bit only lor  i thk e nite scenery not so nice leh,0,kaggle
will do  was exhausted on train this morning  too much wine and pie  you sleep well too,0,kaggle
please da call me any mistake from my side sorry da  pls da goto doctor,0,kaggle
aight we can pick some up  you open before tonight,0,kaggle
yup but not studying surfing lor  i m in e lazy mode today,0,kaggle
urgent  we are trying to contact u  todays draw shows that you have won a å 800 prize guaranteed  call 09050003091 from land line  claim c52  valid 12hrs only,1,kaggle
weightloss  no more girl friends  make loads of money on ebay or something  and give thanks to god,0,kaggle
who are you seeing,0,kaggle
let there be snow  let there be snow  this kind of weather brings ppl together so friendships can grow,0,kaggle
you are a big chic  common  declare,0,kaggle
so many people seems to be special at first sight  but only very few will remain special to you till your last sight   maintain them till life ends   sh jas,0,kaggle
will you like to be spoiled,0,kaggle
dear customer enter upi pin to receive rs 1000 cashback from google pay,1,seed
your axis account will be suspended in 24 hours  call 9876543210 now,1,seed
urgent this is our 2nd attempt to contact u  your å 900 prize from yesterday is still awaiting collection  to claim call now 09061702893  acl03530150pm,1,kaggle
are you free now can i call now,0,kaggle
i think asking for a gym is the excuse for lazy people  i jog,0,kaggle
oops my phone died and i didn t even know  yeah i like it better,0,kaggle
where s mummy s boy   is he being good or bad   is he being positive or negative   why is mummy being made to wait  hmmmm,0,kaggle
hope this text meets you smiling  if not then let this text give you a reason to smile  have a beautiful day,0,kaggle
january male sale  hot gay chat now cheaper  call 08709222922  national rate from 1 5p min cheap to 7 8p min peak  to stop texts call 08712460324  10p min,1,kaggle
1 s finish meeting call me,0,kaggle
so how s scotland  hope you are not over showing your jjc tendencies  take care  live the dream,0,kaggle
i thk ì_ gotta go home by urself  cos i ll b going out shopping 4 my frens present,0,kaggle
i know where the  lt   gt  is  i ll be there around 5,0,kaggle
hi your axis credit card bill of rs 50000 is due on 15 april,0,seed
