text,label
"Dear customer your SBI account has been blocked. Update KYC immediately at http://sbi-kyc-update.xyz or your account will be suspended",1
"Your HDFC account is temporarily suspended. Click here to verify: http://hdfc-verify.info/login",1
"Congratulations! You have won Rs 50000 in KBC lottery. Send your Aadhaar and bank details to claim prize",1
"URGENT: Your PAN card will be deactivated in 24 hours. Call 9876543210 to update details immediately",1
"Dear user your PhonePe account needs immediate KYC verification. Enter OTP sent to your number to continue",1
"You have received a refund of Rs 2500 from Amazon. Enter your UPI PIN to credit the amount to your account",1
"Your Paytm wallet is blocked due to suspicious activity. Click http://paytm-kyc.net to unblock now",1
"SBI YONO: Your account will be closed in 2 hours. Update Aadhaar at this link immediately",1
"FREE MSG: You are selected for Jio cashback of Rs 1000. Share your UPI ID and PIN to receive money",1
"Income Tax Department: You have pending refund of Rs 8750. Submit bank details at incometax-refund.online",1
"Dear customer enter your UPI PIN to accept Rs 500 cashback from Google Pay rewards program",1
"Your electricity connection will be cut tonight. Pay Rs 1850 immediately on this number to avoid disconnection",1
"Paytm KYC: Your wallet limit will be zero from tomorrow. Complete video KYC now: http://paytm-ekyc.xyz",1
"ALERT: Unauthorized login detected on your Netflix account. Verify at http://netflix-secure.info/verify",1
"You have a pending courier from Amazon. Pay Rs 25 customs fee to release your package: http://amzn-delivery.xyz",1
"Congratulations your mobile number has been selected for Rs 25 lakh prize. Call now to claim",1
"Dear ICICI customer your credit card is blocked. Update details at http://icici-update.co to reactivate",1
"Your Aadhaar OTP is 847291. Never share this OTP with anyone. UIDAI will never ask for OTP",0
"Your UPI transaction of Rs 500 to Swiggy is successful. Transaction ID: UPI2024031500123",0
"Hi Karan your salary of Rs 45000 has been credited to your account. Check your bank statement",0
"Your HDFC bank statement for March 2024 is ready. Login to net banking to view",0
"OTP for your SBI net banking login is 291847. Valid for 10 minutes. Do not share with anyone",0
"Your order #OD123456789 has been shipped and will be delivered by tomorrow",0
"Hi this is a reminder that your EMI of Rs 3500 is due on 5th April. Please ensure sufficient balance",0
"Your Airtel recharge of Rs 299 was successful. Pack valid for 28 days",0
"Dear customer your fixed deposit of Rs 50000 has matured. Please visit branch to renew",0
"Your Google Pay transaction to Rahul Sharma Rs 200 was successful",0
"Meeting tomorrow at 10am has been rescheduled to 2pm. Please update your calendar",0
"Your blood test reports are ready. Please visit the lab to collect them",0
"Reminder: Your car insurance renewal is due next month. Login to renew online",0
"Your IRCTC ticket for journey on 15 April has been confirmed. PNR: 1234567890",0
"Happy Birthday! Wishing you a wonderful day ahead",0
"Your Zomato order is on the way and will arrive in 20 minutes",0
"Your mutual fund SIP of Rs 5000 has been processed successfully",0
"Please find attached the meeting notes from yesterday's discussion",0
Your ICICI account will be suspended in 12 hours. Call 9876543210 now,1
Congratulations! You won Rs 5000 in Flipkart Spin & Win. Share Aadhaar to claim,1
Your SBI credit card ending 6842 is blocked. Verify at http://yono-update.xyz,1
Congratulations! You won Rs 25000 in Flipkart Spin & Win. Share Aadhaar to claim,1
Your PNB credit card ending 1861 is blocked. Verify at http://yono-update.xyz,1
You have a collect request of Rs 5000 from Bank of Baroda refund team. Accept now,1
You have a collect request of Rs 2500 from HDFC refund team. Accept now,1
Dear PNB customer your account is blocked. Update KYC at http://hdfc-verify.net immediately,1
Income Tax refund of Rs 10000 is pending. Submit details at http://incometax-claim.online,1
Dear ICICI customer your account is blocked. Update KYC at http://hdfc-verify.net immediately,1
Dear PNB customer your account is blocked. Update KYC at http://sbi-kyc.xyz immediately,1
Income Tax refund of Rs 50000 is pending. Submit details at http://incometax-claim.online,1
Dear user Google Pay is updating KYC. Enter OTP 234210 sent to complete verification,1
Your electricity bill is overdue. Pay Rs 50000 now to avoid disconnection at 1800-XXX-XXXX,1
Congratulations! You won Rs 1000 in Jio Lucky Draw. Share Aadhaar to claim,1
URGENT: Your PAN card linked to Axis needs verification. Click http://yono-update.xyz,1
Your electricity bill is overdue. Pay Rs 1000 now to avoid disconnection at 1800-XXX-XXXX,1
You have a collect request of Rs 50000 from HDFC refund team. Accept now,1
ALERT: Suspicious transaction on your Paytm. Call 9876543210 immediately,1
Income Tax refund of Rs 5000 is pending. Submit details at http://incometax-claim.online,1
OTP for PNB transaction is 362083. Share with our executive to complete KYC,1
Your electricity bill is overdue. Pay Rs 500 now to avoid disconnection at 7654321098,1
Dear PNB customer your account is blocked. Update KYC at http://yono-update.xyz immediately,1
Congratulations! You won Rs 50000 in Jio Lucky Draw. Share Aadhaar to claim,1
Your BHIM wallet KYC is pending. Complete at http://incometax-claim.online or wallet will be blocked,1
Dear PNB customer your account is blocked. Update KYC at http://sbi-kyc.xyz immediately,1
ALERT: Suspicious transaction on your Paytm. Call 7654321098 immediately,1
Scan QR code to receive Rs 500 prize from Amazon Great Sale lucky draw,1
Income Tax refund of Rs 10000 is pending. Submit details at http://incometax-claim.online,1
Income Tax refund of Rs 25000 is pending. Submit details at http://incometax-claim.online,1
Income Tax refund of Rs 500 is pending. Submit details at http://hdfc-verify.net,1
Dear user Paytm is updating KYC. Enter OTP 128024 sent to complete verification,1
Your electricity bill is overdue. Pay Rs 10000 now to avoid disconnection at 9876543210,1
Your electricity bill is overdue. Pay Rs 25000 now to avoid disconnection at 1800-XXX-XXXX,1
Your Bank of Baroda credit card ending 7509 is blocked. Verify at http://paytm-update.info,1
Your electricity bill is overdue. Pay Rs 1000 now to avoid disconnection at 1800-XXX-XXXX,1
ALERT: Suspicious transaction on your Amazon Pay. Call 8765432109 immediately,1
Your Axis credit card ending 7988 is blocked. Verify at http://paytm-update.info,1
Your BHIM wallet KYC is pending. Complete at http://hdfc-verify.net or wallet will be blocked,1
OTP for SBI transaction is 777130. Share with our executive to complete KYC,1
OTP for ICICI transaction is 638533. Share with our executive to complete KYC,1
OTP for Axis transaction is 240476. Share with our executive to complete KYC,1
ALERT: Suspicious transaction on your BHIM. Call 1800-XXX-XXXX immediately,1
Dear user Google Pay is updating KYC. Enter OTP 924776 sent to complete verification,1
Your HDFC account will be suspended in 2 hours. Call 9876543210 now,1
ALERT: Suspicious transaction on your Google Pay. Call 9876543210 immediately,1
Dear user BHIM is updating KYC. Enter OTP 140708 sent to complete verification,1
URGENT: Your PAN card linked to HDFC needs verification. Click http://paytm-update.info,1
Scan QR code to receive Rs 10000 prize from KBC lucky draw,1
OTP for SBI transaction is 972181. Share with our executive to complete KYC,1
Dear customer enter UPI PIN to receive Rs 500 cashback from BHIM,1
Your Amazon Pay wallet KYC is pending. Complete at http://paytm-update.info or wallet will be blocked,1
Dear PNB customer your account is blocked. Update KYC at http://incometax-claim.online immediately,1
ALERT: Suspicious transaction on your PhonePe. Call 9876543210 immediately,1
Dear user PhonePe is updating KYC. Enter OTP 120714 sent to complete verification,1
Your HDFC account will be suspended in 4 hours. Call 1800-XXX-XXXX now,1
Congratulations! You won Rs 25000 in Jio Lucky Draw. Share Aadhaar to claim,1
Congratulations! You won Rs 25000 in Jio Lucky Draw. Share Aadhaar to claim,1
Dear Axis customer your account is blocked. Update KYC at http://hdfc-verify.net immediately,1
Dear user PhonePe is updating KYC. Enter OTP 516973 sent to complete verification,1
ALERT: Suspicious transaction on your Amazon Pay. Call 1800-XXX-XXXX immediately,1
You have a collect request of Rs 5000 from Bank of Baroda refund team. Accept now,1
Congratulations! You won Rs 500 in Jio Lucky Draw. Share Aadhaar to claim,1
Your electricity bill is overdue. Pay Rs 5000 now to avoid disconnection at 9876543210,1
Income Tax refund of Rs 25000 is pending. Submit details at http://incometax-claim.online,1
You have a collect request of Rs 10000 from Kotak refund team. Accept now,1
Your HDFC account will be suspended in 12 hours. Call 7654321098 now,1
Congratulations! You won Rs 1000 in Jio Lucky Draw. Share Aadhaar to claim,1
Scan QR code to receive Rs 10000 prize from Flipkart Spin & Win lucky draw,1
Your electricity bill is overdue. Pay Rs 2500 now to avoid disconnection at 1800-XXX-XXXX,1
Your electricity bill is overdue. Pay Rs 2500 now to avoid disconnection at 8765432109,1
Your electricity bill is overdue. Pay Rs 50000 now to avoid disconnection at 1800-XXX-XXXX,1
Congratulations! You won Rs 2500 in KBC. Share Aadhaar to claim,1
FREE: BHIM selected your number for Rs 2500 reward. Send PIN to claim,1
Your Kotak credit card ending 3996 is blocked. Verify at http://sbi-kyc.xyz,1
ALERT: Suspicious transaction on your Amazon Pay. Call 8765432109 immediately,1
Dear customer enter UPI PIN to receive Rs 50000 cashback from BHIM,1
Your electricity bill is overdue. Pay Rs 2500 now to avoid disconnection at 8765432109,1
Scan QR code to receive Rs 2500 prize from Flipkart Spin & Win lucky draw,1
You have a collect request of Rs 2500 from Bank of Baroda refund team. Accept now,1
ALERT: Suspicious transaction on your Paytm. Call 9876543210 immediately,1
Dear customer enter UPI PIN to receive Rs 1000 cashback from Paytm,1
ALERT: Suspicious transaction on your Amazon Pay. Call 7654321098 immediately,1
Scan QR code to receive Rs 50000 prize from Jio Lucky Draw lucky draw,1
Dear user PhonePe is updating KYC. Enter OTP 970513 sent to complete verification,1
Dear customer enter UPI PIN to receive Rs 1000 cashback from Paytm,1
Your SBI credit card ending 2757 is blocked. Verify at http://sbi-kyc.xyz,1
Dear customer enter UPI PIN to receive Rs 50000 cashback from BHIM,1
Congratulations! You won Rs 10000 in Flipkart Spin & Win. Share Aadhaar to claim,1
FREE: Paytm selected your number for Rs 5000 reward. Send PIN to claim,1
Congratulations! You won Rs 50000 in Jio Lucky Draw. Share Aadhaar to claim,1
Your electricity bill is overdue. Pay Rs 10000 now to avoid disconnection at 9876543210,1
Dear customer enter UPI PIN to receive Rs 25000 cashback from Amazon Pay,1
You have a collect request of Rs 25000 from ICICI refund team. Accept now,1
Dear customer enter UPI PIN to receive Rs 50000 cashback from PhonePe,1
FREE: Google Pay selected your number for Rs 10000 reward. Send PIN to claim,1
FREE: Paytm selected your number for Rs 500 reward. Send PIN to claim,1
